id,,Informasi umum,Nama entitas,Penjelasan perubahan nama dari akhir periode laporan sebelumnya,Kode entitas,Nomor identifikasi entitas,Industri utama entitas,Sektor,Subsektor,Informasi pemegang saham pengendali,Jenis entitas,Jenis efek yang dicatatkan,Jenis papan perdagangan tempat entitas tercatat,Apakah merupakan laporan keuangan satu entitas atau suatu kelompok entitas,Periode penyampaian laporan keuangan,Tanggal awal periode berjalan,Tanggal akhir periode berjalan,Tanggal akhir tahun sebelumnya,Tanggal awal periode sebelumnya,Tanggal akhir periode sebelumnya,Mata uang pelaporan,Kurs konversi pada tanggal pelaporan jika mata uang penyajian selain rupiah,Pembulatan yang digunakan dalam penyajian jumlah dalam laporan keuangan,Jenis laporan atas laporan keuangan,Jenis opini auditor,"Hal yang diungkapkan dalam paragraf pendapat untuk penekanan atas suatu masalah atau paragraf penjelasan lainnya, jika ada",Hasil penugasan review,Tanggal laporan audit atau hasil laporan review,Auditor tahun berjalan,Nama partner audit tahun berjalan,Lama tahun penugasan partner yang menandatangani,Auditor tahun sebelumnya,Nama partner audit tahun sebelumnya,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII G 11 tentang tanggung jawab direksi atas laporan keuangan,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII A dua tentang independensi akuntan yang memberikan jasa audit di pasar modal
2018AuditJPFAFinancialStatement2018TahunanJPFAxlsx.xlsx,31 December 2018,,JAPFA Comfeed Indonesia Tbk,,JPFA,AA042,Umum / General,3. Basic Industry And Chemicals,36. Animal Feed,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,14481.0,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"Maret 5, 2019","Purwantono, Sungkoro & Surja",Sherly Jokom,,"Purwantono, Sungkoro & Surja",Peter Surja,Ya / Yes,Ya / Yes
2018AuditJRPTFinancialStatement2018TahunanJRPTxlsx.xlsx,31 December 2018,,Jaya Real Property Tbk,,JRPT,AA198,Properti / Property,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 20, 2019","Aryanto, Amir Jusuf, Mawar & Saptoto",Rudi Hartono Purba,,"Aryanto, Amir Jusuf, Mawar & Saptoto",Rudi Hartono Purba,Ya / Yes,Ya / Yes
2018AuditJSKYFinancialStatement2018TahunanJSKYxlsx.xlsx,31 December 2018,,PT Sky Energy Indonesia Tbk.,,JSKY,AA804,Umum / General,4. Miscellaneous Industry,46. Electronics,National Corporation,Joint Venture - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 15, 2019","Hadori, Sugiarto, Adi & Rekan",Yulianti Sugiarta,,"Hadori, Sugiarto, Adi & Rekan",Yulianti Sugiarta,Ya / Yes,Ya / Yes
2018AuditJSMRFinancialStatement2018TahunanJSMRxlsx.xlsx,31 December 2018,,Jasa Marga Tbk,,JSMR,AA495,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation","72. Toll Road, Airport, Harbor And Allied Products",Indonesian Government,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 08, 2019","Purwantono, Sungkoro & Surja","Said Amru, CPA",,"Purwantono, Sungkoro dan Surja",Agung Purwanto,Ya / Yes,Ya / Yes
2018AuditJSPTFinancialStatement2018TahunanJSPTxlsx.xlsx,31 December 2018,,Jakarta Setiabudi Internasional Tbk,,JSPT,AA304,Umum / General,"9. Trade, Services & Investment","94. Tourism, Restaurant And  Hotel",National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Purwantono, Sungkoro & Surja",Indrajuwana Komala Widjaja,1,"KAP Purwantono, Sungkoro dan Surja",Susanti,Ya / Yes,Ya / Yes
2018AuditJTPEFinancialStatement2018TahunanJTPExlsx.xlsx,31 December 2018,,Jasuindo Tiga Perkasa Tbk,,JTPE,AA385,Umum / General,"9. Trade, Services & Investment","95. Advertising, Printing And Media",National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 22, 2019","Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Arief Setyadi, CPA",,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Arief Setyadi, CPA",Ya / Yes,Ya / Yes
2018AuditKAEFFinancialStatement2018TahunanKAEFxlsx.xlsx,31 December 2018,,Kimia Farma (Persero) Tbk,,KAEF,AA357,Umum / General,5. Consumer Goods Industry,53. Pharmaceuticals,Indonesian Government,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 22, 2019","Hadori, Sugiarto, Adi & Rekan","Drs Hartono, CA., CPA",,Hananta Budianto & Rekan,Djarwoto,Ya / Yes,Ya / Yes
2018AuditKARWFinancialStatement2018TahunanKARWxlsx.xlsx,31 December 2018,,ICTSI JASA PRIMA Tbk,,KARW,AA227,Umum / General,"7. Infrastructure, Utilities And Transportation","72. Toll Road, Airport, Harbor And Allied Products",Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,Going Concern,,"March 25, 2019","Purwantono, Sungkoro & Surja",Said Amru,Tahun Pertama,"Purwantono, Sungkoro & Surja",Agung Purwanto,Ya / Yes,Ya / Yes
2018AuditKBLIFinancialStatement2018TahunanKBLIxlsx.xlsx,31 December 2018,,KMI Wire and Cable Tbk,,KBLI,AA151,Umum / General,4. Miscellaneous Industry,45. Cable,Foreign Corporation,Foreign Company,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019",Satrio Bing Eny & Rekan,"Bing Harianto, SE",,Satrio Bing Eny & Rekan,Bing Harianto,Ya / Yes,Ya / Yes
2018AuditKBLMFinancialStatement2018TahunanKBLMxlsx.xlsx,31 December 2018,,Kabelindo Murni Tbk,,KBLM,AA148,Umum / General,4. Miscellaneous Industry,45. Cable,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 25, 2019","Kanaka Puradiredja, Suhartono","Tan Siddharta, CPA",,"Kanaka Puradiredja, Suhartono","Tan Siddharta, CPA",Ya / Yes,Ya / Yes
2018AuditKBLVFinancialStatement2018TahunanKBLVxlsx.xlsx,31 December 2018,,First Media Tbk,,KBLV,AA322,Umum / General,"9. Trade, Services & Investment","95. Advertising, Printing And Media",National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,14481.0,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 26, 2019","Aryanto, Amir Jusuf, Mawar & Saptoto",Tjun Tjun,3,"Aryanto, Amir Jusuf, Mawar & Saptoto",Tjun Tjun,Ya / Yes,Ya / Yes
2018AuditKBRIFinancialStatement2018TahunanKBRIxlsx.xlsx,31 December 2018,,Kertas Basuki Rachmat Indonesia Tbk,,KBRI,AA521,Umum / General,3. Basic Industry And Chemicals,38. Pulp & Paper,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Dengan Pengecualian / Qualified,,,"March 26, 2019","Kanaka Puradiredja, Suhartono",Barugamuri Dachi,,Hendrawinata Eddy & Siddharta,Desman PL Tobing,Ya / Yes,Ya / Yes
2018AuditKDSIFinancialStatement2018TahunanKDSIxlsx.xlsx,31 December 2018,,Kedawung Setia Industrial Tbk,,KDSI,AA261,Umum / General,3. Basic Industry And Chemicals,38. Pulp & Paper,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 11, 2019","Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Ruchjat Kosasih, MM., CPA.",,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Bambang Muratno, CPA.",Ya / Yes,Ya / Yes
2018AuditKIASFinancialStatement2018TahunanKIASxlsx.xlsx,31 December 2018,,Keramika Indonesia Assosiasi Tbk,,KIAS,AA224,Umum / General,3. Basic Industry And Chemicals,"32. Ceramics, Glass, Porcelain",Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Siddharta Widjaja & Rekan,"Andreas Haryono Tjahyadi, S.E., CPA",,Siddharta Widjaja & Rekan,"Andreas Haryono Tjahyadi, S.E., CPA",Ya / Yes,Ya / Yes
2018AuditKICIFinancialStatement2018TahunanKICIxlsx.xlsx,31 December 2018,,Kedaung Indah Can Tbk,,KICI,AA177,Umum / General,5. Consumer Goods Industry,55. Houseware,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 08, 2019","Paul Hadiwinata, Hidajat, Arsono, Ade Fatma & Rekan","Ady Putera Setyo Pribadi, CPA",,"Paul Hadiwinata, Hidajat, Arsono , Ade Fatma, & Rekan","Arief Setyadi, CPA",Ya / Yes,Ya / Yes
2018AuditKIJAFinancialStatement2018TahunanKIJAxlsx.xlsx,31 December 2018,,Kawasan Industri Jababeka Tbk,,KIJA,AA231,Properti / Property,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,National and Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019","Tanubrata, Sutanto, Fahmi & Rekan","Rudi Sutadi, S.E., Ak., CA., CPA",,Tanubrata Sutanto Fahmi dan Rekan,"Rudi Sutadi. S.E., Ak., CA., CPA",Ya / Yes,Ya / Yes
2018AuditKINOFinancialStatement2018TahunanKINOxlsx.xlsx,31 December 2018,,PT Kino Indonesia Tbk,,KINO,AA721,Umum / General,5. Consumer Goods Industry,54. Cosmetics And Household,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 25, 2019","Kosasih, Nurdiyaman, Tjahjo & Rekan",Meilyn Soetiono,2,"Kosasih, Nurdiyaman, Tjahjo & Rekan",Meilyn Soetiono,Ya / Yes,Ya / Yes
2018AuditKIOSFinancialStatement2018TahunanKIOSxlsx.xlsx,31 December 2018,,PT Kioson Komersial Indonesia Tbk.,,KIOS,AA780,Umum / General,"9. Trade, Services & Investment",93. Retail Trade,Indonesian Government,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019",Morhan & Rekan,"Morhan Tirtonadi , CPA",1,Morhan & Rekan,"David Kurniawan, CPA",Ya / Yes,Ya / Yes
2018AuditKKGIFinancialStatement2018TahunanKKGIxlsx.xlsx,31 December 2018,,Resource Alam Indonesia Tbk,,KKGI,AA134,Umum / General,2. Mining,21. Coal Mining,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019","Johan, Malonda, Mustika & Rekan","H. FUAD HASAN, CPA, CA",,"Johan, Malonda, Mustika & Rekan","H. FUAD HASAN, CPA, CA",Ya / Yes,Ya / Yes
2018AuditKLBFFinancialStatement2018TahunanKLBFxlsx.xlsx,31 December 2018,,Kalbe Farma Tbk,,KLBF,AA139,Umum / General,5. Consumer Goods Industry,53. Pharmaceuticals,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019","Purwantono, Suherman & Surja",Sinarta,,"Purwantono, Suherman & Surja",Sinarta,Ya / Yes,Ya / Yes
2018AuditKMTRFinancialStatement2018TahunanKMTRxlsx.xlsx,31 December 2018,,PT Kirana Megatara Tbk.,,KMTR,AA764,Umum / General,3. Basic Industry And Chemicals,39. Others - Basic Industry And Chemicals,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 22, 2019",Tanubrata Sutanto Fahmi Bambang dan Rekan,"Erna, S.E., Ak, CA., CPA",,Tanubrata Sutanto Fahmi Bambang dan Rekan,"Erna, S.E., Ak, CA., CPA",Ya / Yes,Ya / Yes
2018AuditKOBXFinancialStatement2018TahunanKOBXxlsx.xlsx,31 December 2018,,Kobexindo Tractors Tbk,,KOBX,AA613,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,2019-03-26,Hendrik &.Rekan,"Ang An Ki, CPA",,Hendrik &.Rekan,"Ang An Ki, CPA",Ya / Yes,Ya / Yes
2018AuditKOINFinancialStatement2018TahunanKOINxlsx.xlsx,31 December 2018,,Kokoh Inti Arebama Tbk,,KOIN,AA512,Umum / General,"9. Trade, Services & Investment",93. Retail Trade,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Siddharta Widjaja & Rekan,"Grace Prativi Widjaja S.E.,CPA",,Siddharta Widjaja & Rekan,"Grace Prativi Widjaja S.E.,CPA",Ya / Yes,Ya / Yes
2018AuditKONIFinancialStatement2018TahunanKONIxlsx.xlsx,31 December 2018,,Perdana Bangun Pusaka Tbk,,KONI,AA242,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"April 29, 2019","Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Nancy Rameli, CPA",1 Tahun,"Purwantono, Sungkoro & Surja",Indrajuwana Komala Widjaja,Ya / Yes,Ya / Yes
2018AuditKOPIFinancialStatement2018TahunanKOPIxlsx.xlsx,31 December 2018,,PT Mitra Energi Persada Tbk,,KOPI,AA352,Umum / General,"7. Infrastructure, Utilities And Transportation",71. Energy,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 25, 2019","Soejatna, Mulyana & Rekan","Safaat Widjajabrata, CA, CPA",,"Soejatna, Mulyana & Rekan","Drs. Sukarna Rusdjana, CA, CPA",Ya / Yes,Ya / Yes
2018AuditKPALFinancialStatement2018TahunanKPALxlsx.xlsx,31 December 2018,,PT Steadfast Marine Tbk,,KPAL,AA824,Umum / General,4. Miscellaneous Industry,41. Machinery And Heavy Equipment,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Dengan Pengecualian / Qualified,,,"April 04, 2019",Mirawati Sensi Idris,Leo Sutanto,,Rama Wendra,Marcellinus Wendra,Ya / Yes,Ya / Yes
2018AuditKPASFinancialStatement2018TahunanKPASxlsx.xlsx,31 December 2018,,PT Cottonindo Ariesta Tbk.,,KPAS,AA851,Umum / General,5. Consumer Goods Industry,54. Cosmetics And Household,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019","Johan, Malonda, Mustika & Rekan","Fuad Hasan, CPA, CA",,Joachim Poltak Lian & Rekan,"Joachim Sulistyo, CPA",Ya / Yes,Ya / Yes
2018AuditKPIGFinancialStatement2018TahunanKPIGxlsx.xlsx,31 December 2018,,MNC Land Tbk,,KPIG,AA325,Properti / Property,"9. Trade, Services & Investment","94. Tourism, Restaurant And  Hotel",National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 21, 2019",Anwar & Rekan,"Patricia, CPA",2,Anwar & Rekan,"Patricia, CPA",Ya / Yes,Ya / Yes
2018AuditKRAHFinancialStatement2018TahunanKRAHxlsx.xlsx,31 December 2018,,PT Grand Kartech Tbk,,KRAH,AA665,Umum / General,4. Miscellaneous Industry,41. Machinery And Heavy Equipment,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"May 21, 2019",Rama Wendra,Mimando,,Rama Wendra,Mimando,Ya / Yes,Ya / Yes
2018AuditKRASFinancialStatement2018TahunanKRASxlsx.xlsx,31 December 2018,,Krakatau Steel (Persero) Tbk,,KRAS,AA562,Umum / General,3. Basic Industry And Chemicals,33. Metal And Allied Products,Indonesian Government,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 29, 2019","Purwantono, Suherman & Surja",Said Amru,,"Purwantono, Suherman & Surja",Susanti,Ya / Yes,Ya / Yes
2018AuditKRENFinancialStatement2018TahunanKRENxlsx.xlsx,31 December 2018,,PT Kresna Graha Investama Tbk.,,KREN,AA393,Umum / General,"9. Trade, Services & Investment",98. Investment Company,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 22, 2019","Kosasih, Nurdiyaman, Tjahjo & Rekan","Juninho Widjaja, CPA",,"Kosasih, Nurdiyaman, Tjahjo & Rekan","Juninho Widjaja, CPA",Ya / Yes,Ya / Yes
2018AuditLANDFinancialStatement2018TahunanLANDxlsx.xlsx,31 December 2018,,PT Trimitra Propertindo Tbk.,,LAND,AA840,Properti / Property,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 22, 2019",Tjahjadi & Tamara,Riani,,Tjahjadi & Tamara,Tjahjadi,Ya / Yes,Ya / Yes
2018AuditLAPDFinancialStatement2018TahunanLAPDxlsx.xlsx,31 December 2018,,Leyand International Tbk,,LAPD,AA363,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",71. Energy,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Dengan Pengecualian / Qualified,,,21 Februari 2019,Arman Dhani & Rekan,Ferdinand Agung,,"Kanaka Puradiredja, Suhartono",Tan Siddharta,Ya / Yes,Ya / Yes
2018AuditLCKMFinancialStatement2018TahunanLCKMxlsx.xlsx,31 December 2018,,PT LCK Global Kedaton Tbk,,LCKM,AA800,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",75. Non Building Construction,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019","Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Emanuel Handojo Pranadjaja CA, CPA",,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Emanuel Handojo Pranadjaja CA, CPA",Ya / Yes,Ya / Yes
2018AuditLEADFinancialStatement2018TahunanLEADxlsx.xlsx,31 December 2018,,PT Logindo Samudramakmur Tbk.,,LEAD,AA667,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",74. Transportation,National and Foreign Corporation,Joint Venture - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Dengan Pengecualian / Qualified,,,"March 27, 2019","Purwantono, Sungkoro & Surja",Agung Purwanto,2,"Purwantono, Sungkoro dan Surja",Agung Purwanto,Ya / Yes,Ya / Yes
2018AuditLINKFinancialStatement2018TahunanLINKxlsx.xlsx,31 December 2018,,PT Link Net Tbk.,,LINK,AA685,Umum / General,"9. Trade, Services & Investment","95. Advertising, Printing And Media",National and Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,14481.0,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 26, 2019","Aryanto, Amir Jusuf, Mawar & Saptoto",Tjun Tjun,,"Aryanto, Amir Jusuf, Mawar & Saptoto",Tjun Tjun,Ya / Yes,Ya / Yes
2018AuditLIONFinancialStatement2018TahunanLIONxlsx.xlsx,31 December 2018,,Lion Metal Works Tbk,,LION,AA170,Umum / General,3. Basic Industry And Chemicals,33. Metal And Allied Products,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 15, 2019","Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Nunu Nurdiyaman, CPA",2,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Nunu Nurdiyaman, CPA",Ya / Yes,Ya / Yes
